,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
327,Hakkini helal et,2007,2008,2,,Drama,18.0,"M. Sitare Akbas,Hamdi Alp,Mürsit Bag,Ibrahim Güldogan",,6.5
328,Metropol cafe,2007,2009,3,,Comedy,16.0,"Mehmet Ergin Balkas,Max Bendo,Inan Güngören,Bade Iscil",,2.6
329,Gulhan'in Galaksi Rehberi,2007,2009,3,,Adventure,17.0,,,7.4
330,Koca Kafalar TV,2007,2008,2,,Comedy,16.0,,,4.9
331,Bez Bebek,2007,2010,4,,Comedy,16.333333333333332,"Sibel Kasapoglu,Asena Keskinci,Ege Tanman,Elif Ceren Balikçi",,2.9
332,Komedi Dukkani,2007,2011,5,,Comedy,16.0,"Tolga Çevik,Sarp Bozkurt,Firat Parlak,Özer Atik",,8.0
333,Kara gunes,2007,2009,3,,Drama,18.0,"Senay Akay,Caner Cindoruk,Demet Sasmaz,Gani Savata",,1.6
334,Keske olmasaydi...,2007,2007,1,,Documentary,10.0,"Tarik Akyildiz,Hasan Ataol,Mehdi Bespinar,Süleyman Demirel",,6.0
335,Uzman Avi,2007,2008,2,,Game-Show,12.0,Defne Joy Foster,,8.8
336,Görgüsüzler,2008,2008,1,,Comedy,16.0,"Zeki Alasya,Melek Baykal,Çagla Sikel,Levent Ülgen",,2.0
337,Gazi,2008,2008,1,,Adventure,17.0,"Bilal Yilmaz,Ismail Hakki,Volga Sorgu,Selim Makaroglu",,5.5
338,Sinif,2008,2010,3,,Drama,18.0,"Enes Atis,Nihan Büyükagaç,Sennur Canpolat,Kerem Corogil",,7.3
339,Çemberin disinda,2008,2010,3,,Crime,15.0,"Kenan Bal,Ugur Baltepe,Durul Bazan,Belgin Erdogan",,1.1
340,Pars: Narkoterör,2008,2010,3,,Action,16.0,"Ozman Sirgood,Hüseyin Soysalan,Adem Yavuz Özata,Seda Bakan",,4.0
341,Yol arkadasim,2008,2010,3,,Drama,17.0,"Bigkem Melisa Özelçi,Asena Keskinci,Serhat Mustafa Kiliç,Gürsan Piri Onurlu",,6.3
342,Servet avcisi,2008,2010,3,,Comedy,16.0,"Murat Akkoyunlu,Ömür Arpaci,Berksan,Haldun Boysan",,3.1
343,Mert ile Gert,2008,2010,3,,Comedy,16.0,"Engin Alkan,Sedef Sahin,Nilgün Belgün,Isilay Gül",,2.9
344,Son Aga,2008,2010,3,,Comedy,16.0,"Tamer Karadagli,Feride Çetin,Emel Müftüoglu,Sener Kökkaya",,5.1
345,Baba ocagi,2008,2010,3,,Comedy,16.333333333333332,"Burak Özçivit,Selim Gülgören,Gülden Dudarik,Algi Eke",,6.0
346,Doludizgin yillar,2008,2010,3,,Drama,18.0,"Yusuf Ömer Sinav,Selen Seyven,Erdal Cindoruk,Bigkem Melisa Özelçi",,6.5
347,Küçük Kadinlar,2008,2010,3,,Drama,18.0,"Hande Soral,Fulya Zenginer,Elit Iscan,Selin Ilgar",,3.4
348,Derdest,2008,2010,3,,Drama,18.0,"Orhan Kilic,Sezin Akbasogullari,Burak Sergen,Nihan Büyükagaç",,5.4
349,Elif,2008,2010,3,,Drama,17.0,"Mehmet Feim Mehmedof,Keremcem,Yasemin Kay Allen,Ferdi Akarnur",,4.7
350,Ask-i Memnu,2008,2011,4,,Drama,17.0,"Beren Saat,Kivanç Tatlitug,Nebahat Çehre,Nur Fettahoglu",,7.2
351,Dügün sarkicisi,2008,2010,3,,Comedy,16.333333333333332,"Nese Karaböcek,Asli Kökçe,Muhittin Paydas,Mustafa Uzunyilmaz",,4.3
352,Gece gündüz,2008,2009,2,,Drama,18.0,"Orhan Eskin,Ömer Güney,Ece Hakim,Elif Nur Kerkük",,6.9
353,Akasya duragi,2008,2012,5,,Comedy,16.0,"Erol Günaydin,Pelin Sönmez,Asli Altaylar,Zeki Alasya",,2.2
354,Eyvah halam,2008,2010,3,,Comedy,15.5,"Defne Yalniz,Dogac Yildiz,Ece Çesmioglu,Zeynep Özkaya",,5.1
355,Son bahar,2008,2010,3,,Drama,18.0,"Basri Albayrak,Erkan Petekkaya,Ayça Varlier,Çelik Bilge",,6.7
356,Gece Sesleri,2008,2010,3,,Drama,16.0,"Nursim Demir,Ebru Aykaç,Özlem Baskaya,Ismail Hacioglu",,6.0
357,Memur Muzaffer,2008,2010,3,,Drama,18.0,"Ferdi Tayfur,Billur Yazgan,Sevil Ustekin,Yeliz Tozan",,6.3
358,Canim ailem,2008,2010,3,,Comedy,16.333333333333332,"Funda Eryigit,Ugur Yücel,Ozan Güven,Sebnem Bozoklu",,7.5
359,Adanali,2008,2010,3,,Action,15.5,"Oktay Kaynarca,Mehmet Akif Alakurt,Cagkan Culha,Umut Oguz",,3.2
360,Çok Güzel Hareketler Bunlar,2008,2011,4,,Comedy,16.0,"Aysegül Akdemir,Gülsüm Alkan,Beyaz,Mehmet Ali Birand",,6.4
361,Karamel,2008,2010,3,,Drama,18.0,"Ahu Türkpençe,Emre Kinay,Gökhan Soylu,Ülkü Duru",,3.4
362,Cennetin çocuklari,2008,2010,3,,Drama,18.0,"Ali Basar,Sinem Boyacioglu,Cansel Elcin,Halim Ercan",,5.6
